pubchem_id,common_name,iupac_name,smile,inchi,taste,odor,flavor_profile,fema_flavor_profile,fooddb_flavor_profile,bitter,super_sweet,bitterdb_id,flavornet_id,fooddb_id,supersweetdb_id,fema_number,cas_id,functional_groups,bond_stereo_count,undefined_atom_stereocenter_count,heavy_atom_count,hba_count,hbd_count,synthetic,natural,charge,isotope_atom_count,molecular_weight,fenoroli_and_os,exact_mass,volume3d,unknown_natural,covalently_bonded_unit_count,undefined_bond_stereocenter_count,num_rotatablebonds,defined_bond_stereocenter_count,xlogp,topological_polor_surfacearea,defined_atom_stereocenter_count,atom_stereo_count,complexity,monoisotopic_mass,has_odor,one_tag,has_bitter,no_sweet,has_sweet,fruity,green,floral,woody,herbal,only_sweet,sweet_and_something_else
370,Gallic acid,"3,4,5-trihydroxybenzoic acid",C1=C(C=C(C(=C1O)O)O)C(=O)O,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)",,,['bitter'],,,1,,658.0,0,,,,149-91-7,"hydroxy compound@phenol or hydroxyhetarene@1,2-diphenol@carboxylic acid derivative@carboxylic acid@aromatic compound",0,0,12,5,4,0,0,0,0,170.12,0,170.022,120.3,0,1,0,1,0,0.7,98.0,0,0,169.0,170.022,-1,1,1,1,0,0,0,0,0,0,0,0
653,CID 653,2-hydroxy-3-[(2-hydroxy-4-oxochromen-3-yl)methyl]chromen-4-one,C1=CC=C2C(=C1)C(=O)C(=C(O2)O)CC3=C(OC4=CC=CC=C4C3=O)O,"InChI=1S/C19H12O6/c20-16-10-5-1-3-7-14(10)24-18(22)12(16)9-13-17(21)11-6-2-4-8-15(11)25-19(13)23/h1-8,22-23H,9H2",,,['bitter'],,,1,,176.0,0,,,,,carbonyl compound@hydroxy compound@phenol or hydroxyhetarene@oxo(het)arene@aromatic compound@heterocyclic compound,0,0,25,6,2,0,0,0,0,336.299,0,336.063,246.4,0,1,0,2,0,2.1,93.1,0,0,605.0,336.063,-1,1,1,1,0,0,0,0,0,0,0,0
679,dimethyl sulfoxide,methylsulfinylmethane,CS(=O)C,InChI=1S/C2H6OS/c1-4(2)3/h1-2H3,slightly bitter taste with sweet after-taste,slightly sulfurous odor@distinctive garlic or oyster-like odor,"['fatty', 'mushroom', 'cheesy', 'garlic', 'bitter', 'oily']",Garlic,cheesy@garlic@bitter@fatty@oily@mushroom,1,,188.0,1,FDB000764,,3875,67-68-5,sulfoxide,0,0,4,2,0,0,1,0,0,78.129,1,78.014,60.8,0,1,0,0,0,-0.6,36.3,0,0,29.0,78.014,1,0,1,1,0,0,0,0,0,0,0,0
768,hydrogen cyanide,formonitrile,C#N,InChI=1S/CHN/c1-2/h1H,"bitter, burning taste","characteristic sweetish, like almond@... bitter, almond-like odor.",['bitter'],,bitter,1,,821.0,0,FDB030908,,,74-90-8,carbonitrile,0,0,2,1,0,0,1,0,0,27.026,0,27.011,26.7,0,1,0,0,0,0.1,23.8,0,0,10.0,27.011,1,1,1,1,0,0,0,0,0,0,0,0
784,hydrogen peroxide,hydrogen peroxide,OO,InChI=1S/H2O2/c1-2/h1-2H,slightly acid@bitter,"odorless, or having an odor resembling that of ozone@... slightly sharp odor ...",['bitter'],,bitter,1,,248.0,0,FDB030909,,,7722-84-1,hydroperoxide,0,0,2,2,2,0,1,0,0,34.014,0,34.005,24.6,0,1,0,0,0,-0.9,40.5,0,0,0.0,34.005,1,1,1,1,0,0,0,0,0,0,0,0
932,naringenin,"5,7-dihydroxy-2-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one",C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,"InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2",,,['bitter'],Can help to reduce the bitter character of certain flavor formulations,,1,,644.0,0,,,4797,480-41-1@67604-48-2,carbonyl compound@ketone@hydroxy compound@phenol or hydroxyhetarene@ether@alkyl aryl ether@aromatic compound@heterocyclic compound,0,1,20,5,3,0,1,0,0,272.256,0,272.068,203.4,0,1,0,1,0,2.4,87.0,0,1,363.0,272.068,-1,1,1,1,0,0,0,0,0,0,0,0
1048,pyrazole,1H-pyrazole,C1=CNN=C1,"InChI=1S/C3H4N2/c1-2-4-5-3-1/h1-3H,(H,4,5)",,,['bitter'],,,1,,440.0,0,,,,288-13-1,aromatic compound@heterocyclic compound,0,0,5,1,1,0,0,0,0,68.079,0,68.037,56.4,0,1,0,0,0,0.3,28.7,0,0,28.1,68.037,-1,1,1,1,0,0,0,0,0,0,0,0
1119,sulfur dioxide,sulfur dioxide,O=S=O,InChI=1S/O2S/c1-3-2,acid taste,"strong suffocating odor@irritating odor@... characteristic, irritating, pungent odor ...",['bitter'],,bitter,1,,822.0,0,FDB013399,,3039,7446-09-5@67015-63-8,,0,0,3,3,0,0,1,0,0,64.058,1,63.962,41.3,0,1,0,0,0,0.1,35.1,0,0,18.3,63.962,1,1,1,1,0,0,0,0,0,0,0,0
1123,taurine,2-aminoethanesulfonic acid,C(CS(=O)(=O)O)N,"InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)",slightly acidic taste,odorless@almost odorless,"['bland', 'bitter']",,bland@bitter,1,,747.0,0,FDB003191,,3813,107-35-7,amine@primary amine@primary aliphatic amine (alkylamine)@sulfonic acid derivative@sulfonic acid,0,0,7,4,2,0,1,0,0,125.142,1,125.015,83.9,0,1,0,2,0,-4.1,88.8,0,0,120.0,125.015,1,0,1,1,0,0,0,0,0,0,0,0
1130,thiamine,"2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-1,3-thiazol-3-ium-5-yl]ethanol",CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,"InChI=1S/C12H17N4OS/c1-8-11(3-4-17)18-7-16(8)6-10-5-14-9(2)15-12(10)13/h5,7,17H,3-4,6H2,1-2H3,(H2,13,14,15)/q+1",,"slight, characteristic",['bitter'],,bitter,1,,68.0,0,FDB008424,,,59-43-8@70-16-6,cation@hydroxy compound@alcohol@primary alcohol@amine@primary amine@primary aromatic amine@aromatic compound@heterocyclic compound,0,0,18,5,2,0,1,1,0,265.355,0,265.112,203.3,0,1,0,4,0,1.0,104.0,0,0,269.0,265.112,1,1,1,1,0,0,0,0,0,0,0,0
1889,DL-Liquiritigenin,"7-hydroxy-2-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one",C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O,"InChI=1S/C15H12O4/c16-10-3-1-9(2-4-10)14-8-13(18)12-6-5-11(17)7-15(12)19-14/h1-7,14,16-17H,8H2",,,['bitter'],,bitter,1,,896.0,0,FDB000655,,,578-86-9@69097-97-8,carbonyl compound@ketone@hydroxy compound@phenol or hydroxyhetarene@ether@alkyl aryl ether@aromatic compound@heterocyclic compound,0,1,19,4,2,0,1,0,0,256.257,0,256.074,196.1,0,1,0,1,0,2.2,66.8,0,1,335.0,256.074,-1,1,1,1,0,0,0,0,0,0,0,0
1983,acetaminophen,N-(4-hydroxyphenyl)acetamide,CC(=O)NC1=CC=C(C=C1)O,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)",slightly bitter taste,odorless,['bitter'],,bitter,1,,121.0,0,FDB022713,,,103-90-2,hydroxy compound@phenol or hydroxyhetarene@carboxylic acid derivative@carboxylic acid amide@secondary carboxylic acid amide@aromatic compound,0,0,11,2,2,1,0,0,0,151.165,0,151.063,120.2,0,1,0,1,0,0.5,49.3,0,0,139.0,151.063,0,1,1,1,0,0,0,0,0,0,0,0
2153,theophylline,"1,3-dimethyl-7H-purine-2,6-dione",CN1C2=C(C(=O)N(C1=O)C)NC=N2,"InChI=1S/C7H8N4O2/c1-10-5-4(8-3-9-5)6(12)11(2)7(10)13/h3H,1-2H3,(H,8,9)",bitter,odorless,['bitter'],,bitter,1,,514.0,0,FDB000453,,,58-55-9,oxo(het)arene@aromatic compound@heterocyclic compound,0,0,13,3,1,0,0,0,0,180.167,0,180.065,130.4,0,1,0,0,0,0.0,69.3,0,0,267.0,180.065,0,1,1,1,0,0,0,0,0,0,0,0
2164,amobarbital,"5-ethyl-5-(3-methylbutyl)-1,3-diazinane-2,4,6-trione",CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,"InChI=1S/C11H18N2O3/c1-4-11(6-5-7(2)3)8(14)12-10(16)13-9(11)15/h7H,4-6H2,1-3H3,(H2,12,13,14,15,16)",slightly bitter@bitter,odorless,['bitter'],,,1,,229.0,0,,,,57-43-2,"carboxylic acid derivative@carboxylic acid imide@carboxylic acid imide, N-unsubstituted@urea@heterocyclic compound",0,0,16,3,2,0,0,0,0,226.276,0,226.132,174.4,0,1,0,4,0,2.1,75.3,0,0,303.0,226.132,0,1,1,1,0,0,0,0,0,0,0,0
2180,amygdalin,"2-phenyl-2-[3,4,5-trihydroxy-6-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxyacetonitrile",C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)O)O)O)O)O)O,"InChI=1S/C20H27NO11/c21-6-10(9-4-2-1-3-5-9)30-20-18(28)16(26)14(24)12(32-20)8-29-19-17(27)15(25)13(23)11(7-22)31-19/h1-5,10-20,22-28H,7-8H2",,,['bitter'],,,1,,102.0,0,,,,51371-34-7@29883-15-6,"acetal@hydroxy compound@alcohol@primary alcohol@secondary alcohol@1,2-diol@carbonitrile@aromatic compound@heterocyclic compound",0,11,32,12,7,0,1,0,0,457.432,0,457.158,,0,1,0,7,0,-2.7,202.0,0,11,638.0,457.158,-1,1,1,1,0,0,0,0,0,0,0,0
2194,Anethole trithione,5-(4-methoxyphenyl)dithiole-3-thione,COC1=CC=C(C=C1)C2=CC(=S)SS2,"InChI=1S/C10H8OS3/c1-11-8-4-2-7(3-5-8)9-6-10(12)14-13-9/h2-6H,1H3",,,['bitter'],,,1,,325.0,0,,,,532-11-6,ether@alkyl aryl ether@disulfide@thioxo(het)arene@aromatic compound@heterocyclic compound,0,0,14,4,0,0,0,0,0,240.353,0,239.974,176.4,0,1,0,2,0,2.8,91.9,0,0,254.0,239.974,-1,1,1,1,0,0,0,0,0,0,0,0
2206,antipyrine,"1,5-dimethyl-2-phenylpyrazol-3-one",CC1=CC(=O)N(N1C)C2=CC=CC=C2,"InChI=1S/C11H12N2O/c1-9-8-11(14)13(12(9)2)10-6-4-3-5-7-10/h3-8H,1-2H3",,,['bitter'],,,1,,364.0,0,,,,60-80-0,carboxylic acid hydrazide@oxo(het)arene@aromatic compound@heterocyclic compound,0,0,14,2,0,0,0,0,0,188.23,0,188.095,152.1,0,1,0,1,0,0.4,23.6,0,0,267.0,188.095,-1,1,1,1,0,0,0,0,0,0,0,0
2230,arecoline,"methyl 1-methyl-3,6-dihydro-2H-pyridine-5-carboxylate",CN1CCC=C(C1)C(=O)OC,"InChI=1S/C8H13NO2/c1-9-5-3-4-7(6-9)8(10)11-2/h4H,3,5-6H2,1-2H3",,,['bitter'],,bitter,1,,,0,FDB002198,,,63-75-2,amine@tertiary amine@tertiary aliphatic amine (trialkylamine)@carboxylic acid derivative@carboxylic acid ester@alkene@heterocyclic compound,0,0,11,3,0,0,1,0,0,155.197,0,155.095,125.7,1,1,0,2,0,0.3,29.5,0,0,187.0,155.095,-1,1,1,1,0,0,0,0,0,0,0,0
2236,Aristolochic acid,,COC1=CC=CC2=C3C(=C(C=C21)[N+](=O)[O-])C(=CC4=C3OCO4)C(=O)O,"InChI=1S/C17H11NO7/c1-23-12-4-2-3-8-9(12)5-11(18(21)22)14-10(17(19)20)6-13-16(15(8)14)25-7-24-13/h2-6H,7H2,1H3,(H,19,20)",,,['bitter'],,,1,,44.0,0,,,,313-67-7,acetal@ether@alkyl aryl ether@carboxylic acid derivative@carboxylic acid@nitro compound@aromatic compound@heterocyclic compound,0,0,25,7,1,0,1,0,0,341.275,0,341.054,242.4,0,1,0,2,0,3.6,111.0,0,0,550.0,341.054,-1,1,1,1,0,0,0,0,0,0,0,0
2265,azathioprine,6-(3-methyl-5-nitroimidazol-4-yl)sulfanyl-7H-purine,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],"InChI=1S/C9H7N7O2S/c1-15-4-14-7(16(17)18)9(15)19-8-5-6(11-2-10-5)12-3-13-8/h2-4H,1H3,(H,10,11,12,13)",,,['bitter'],,,1,,56.0,0,,,,446-86-6,thioether@nitro compound@aromatic compound@heterocyclic compound,0,0,19,7,1,1,0,0,0,277.262,0,277.038,193.6,0,1,0,2,0,0.1,143.0,0,0,354.0,277.038,-1,1,1,1,0,0,0,0,0,0,0,0
2294,barbital,"5,5-diethyl-1,3-diazinane-2,4,6-trione",CCC1(C(=O)NC(=O)NC1=O)CC,"InChI=1S/C8H12N2O3/c1-3-8(4-2)5(11)9-7(13)10-6(8)12/h3-4H2,1-2H3,(H2,9,10,11,12,13)",,,['bitter'],,,1,,602.0,0,,,,57-44-3@144-02-5,"carboxylic acid derivative@carboxylic acid imide@carboxylic acid imide, N-unsubstituted@urea@heterocyclic compound",0,0,13,3,2,0,0,0,0,184.195,0,184.085,136.1,0,1,0,2,0,0.6,75.3,0,0,247.0,184.085,-1,1,1,1,0,0,0,0,0,0,0,0
