pubchem_id,common_name,iupac_name,smile,inchi,taste,odor,flavor_profile,fema_flavor_profile,fooddb_flavor_profile,bitter,super_sweet,bitterdb_id,flavornet_id,fooddb_id,supersweetdb_id,fema_number,cas_id,functional_groups,bond_stereo_count,undefined_atom_stereocenter_count,heavy_atom_count,hba_count,hbd_count,synthetic,natural,charge,isotope_atom_count,molecular_weight,fenoroli_and_os,exact_mass,volume3d,unknown_natural,covalently_bonded_unit_count,undefined_bond_stereocenter_count,num_rotatablebonds,defined_bond_stereocenter_count,xlogp,topological_polor_surfacearea,defined_atom_stereocenter_count,atom_stereo_count,complexity,monoisotopic_mass,has_odor,one_tag,has_bitter,no_sweet,has_sweet,fruity,green,floral,woody,herbal,only_sweet,sweet_and_something_else
196,adipic acid,hexanedioic acid,C(CCC(=O)O)CC(=O)O,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)",tart taste@sour tasting,odorless,['odorless'],,odorless,0,,,0,FDB008309,,2011,124-04-9@25666-61-9,carboxylic acid derivative@carboxylic acid,0,0,10,4,2,0,1,0,0,146.142,1,146.058,113.1,0,1,0,5,0,0.1,74.6,0,0,114.0,146.058,0,1,0,1,0,0,0,0,0,0,0,0
262,"2,3-butanediol","butane-2,3-diol",CC(C(C)O)O,"InChI=1S/C4H10O2/c1-3(5)4(2)6/h3-6H,1-2H3",sweet taste,odorless,"['onion', 'fruit', 'creamy', 'fruity', 'buttery']",,onion@fruit@creamy@fruity@buttery,0,,,1,FDB011934,,,513-85-9,"hydroxy compound@alcohol@secondary alcohol@1,2-diol",0,2,6,2,2,0,1,0,0,90.122,1,90.068,74.6,0,1,0,1,0,-0.9,40.5,0,2,30.5,90.068,0,0,0,1,0,1,0,0,0,0,0,0
294,cellobiose,"2-(hydroxymethyl)-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol",C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,"InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2",sweet,odorless,['sweet'],,,0,Sweet,,0,,112.0,,63-42-3@69-79-4@528-50-7,"hemiacetal@acetal@hydroxy compound@alcohol@primary alcohol@secondary alcohol@1,2-diol@heterocyclic compound",0,10,23,11,8,0,1,0,0,342.297,0,342.116,,1,1,0,4,0,-4.7,190.0,0,10,382.0,342.116,0,1,0,0,1,0,0,0,0,0,1,0
311,citric acid,"2-hydroxypropane-1,2,3-tricarboxylic acid",C(C(=O)O)C(CC(=O)O)(C(=O)O)O,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)","strongly acidic taste@pleasant, sweet, tart taste",odorless,['odorless'],,odorless,0,,,0,FDB012586,,2306,"3458-72-8@77-92-9, 5949-29-1@6018-92-4@77-92-9",hydroxy compound@alcohol@tertiary alcohol@carboxylic acid derivative@carboxylic acid@alpha-hydroxyacid,0,0,13,7,4,0,1,0,0,192.123,1,192.027,132.7,0,1,0,5,0,-1.7,132.0,0,0,227.0,192.027,0,1,0,1,0,0,0,0,0,0,0,0
453,Hexitol,"hexane-1,2,3,4,5,6-hexol",C(C(C(C(C(CO)O)O)O)O)O,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2","sweet taste, approx 60% as sweet as sugar (wt/wt)",odorless,['sweet'],,,0,Sweet,,0,,9971.0,,,"hydroxy compound@alcohol@primary alcohol@secondary alcohol@1,2-diol",0,4,12,6,6,0,0,0,0,182.172,0,182.079,131.1,0,1,0,5,0,-3.1,121.0,0,4,105.0,182.079,0,1,0,0,1,0,0,0,0,0,1,0
602,Dl-Alanine,2-aminopropanoic acid,CC(C(=O)O)N,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)",sweet taste,odorless,['odorless'],,odorless,0,,,0,FDB000557,,3818,302-72-7,amine@primary amine@primary aliphatic amine (alkylamine)@carboxylic acid derivative@carboxylic acid@alpha-aminoacid,0,1,6,3,2,0,1,0,0,89.094,1,89.048,68.8,0,1,0,1,0,-3.0,63.3,0,1,61.8,89.048,0,1,0,1,0,0,0,0,0,0,0,0
750,glycine,2-aminoacetic acid,C(C(=O)O)N,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",sweet,odorless,"['oily', 'odorless', 'sweet', 'fatty', 'waxy']",,fatty@odorless@waxy@oily,0,Sweet,,0,FDB000484,20013.0,3287,56-40-6@18875-39-3@25718-94-9,amine@primary amine@primary aliphatic amine (alkylamine)@carboxylic acid derivative@carboxylic acid@alpha-aminoacid,0,0,5,3,2,0,1,0,0,75.067,1,75.032,56.2,1,1,0,1,0,-3.2,63.3,0,0,42.9,75.032,0,0,0,0,1,0,0,0,0,0,0,1
785,hydroquinone,"benzene-1,4-diol",C1=CC(=CC=C1O)O,"InChI=1S/C6H6O2/c7-5-1-2-6(8)4-3-5/h1-4,7-8H",a slightly bitter taste in aqueous solutions,odorless,[],,,0,,,0,,,,123-31-9,hydroxy compound@phenol or hydroxyhetarene@aromatic compound,0,0,8,2,2,0,1,0,0,110.112,1,110.037,86.6,0,1,0,0,0,0.6,40.5,0,0,54.9,110.037,0,0,0,1,0,0,0,0,0,0,0,0
936,nicotinamide,pyridine-3-carboxamide,C1=CC(=CN=C1)C(=O)N,"InChI=1S/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H,(H2,7,9)",bitter taste,odorless,['odorless'],,odorless,0,,,0,FDB012485,,,98-92-0@11032-50-1,carboxylic acid derivative@carboxylic acid amide@primary carboxylic acid amide@aromatic compound@heterocyclic compound,0,0,9,2,1,0,0,0,0,122.127,0,122.048,95.2,0,1,0,1,0,-0.4,56.0,0,0,114.0,122.048,0,1,0,1,0,0,0,0,0,0,0,0
962,water,oxidane,O,InChI=1S/H2O/h1H2,tasteless,odorless,['odorless'],,odorless,0,,,0,FDB013390,,,7732-18-5,,0,0,1,1,1,0,0,0,0,18.015,0,18.011,14.7,0,1,0,0,0,-0.5,1.0,0,0,0.0,18.011,0,1,0,1,0,0,0,0,0,0,0,0
1004,Phosphoric acid,phosphoric acid,OP(=O)(O)O,"InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)",acid taste,odorless,['bland'],,bland,0,,,0,FDB013380,,2900,9044-08-0@8017-16-1@68891-72-5@7664-38-2,phosphoric acid derivative@phosphoric acid,0,0,5,4,3,0,1,0,0,97.994,1,97.977,58.8,1,1,0,0,0,-2.1,77.8,0,0,49.8,97.977,0,1,0,1,0,0,0,0,0,0,0,0
1110,succinic acid,butanedioic acid,C(CC(=O)O)C(=O)O,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",very acid taste@tart taste@pure aq soln are slightly bitter & taste build up is slow,odorless,"['sour', 'odorless']",Alters several flavor and/or taste characteristics,sour@odorless,0,,,0,FDB001931,,4719,110-15-6,carboxylic acid derivative@carboxylic acid,0,0,8,4,2,0,1,0,0,118.088,0,118.027,86.9,0,1,0,3,0,-0.6,74.6,0,0,92.6,118.027,0,0,0,1,0,0,0,0,0,0,0,0
1983,acetaminophen,N-(4-hydroxyphenyl)acetamide,CC(=O)NC1=CC=C(C=C1)O,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)",slightly bitter taste,odorless,['bitter'],,bitter,1,,121.0,0,FDB022713,,,103-90-2,hydroxy compound@phenol or hydroxyhetarene@carboxylic acid derivative@carboxylic acid amide@secondary carboxylic acid amide@aromatic compound,0,0,11,2,2,1,0,0,0,151.165,0,151.063,120.2,0,1,0,1,0,0.5,49.3,0,0,139.0,151.063,0,1,1,1,0,0,0,0,0,0,0,0
2153,theophylline,"1,3-dimethyl-7H-purine-2,6-dione",CN1C2=C(C(=O)N(C1=O)C)NC=N2,"InChI=1S/C7H8N4O2/c1-10-5-4(8-3-9-5)6(12)11(2)7(10)13/h3H,1-2H3,(H,8,9)",bitter,odorless,['bitter'],,bitter,1,,514.0,0,FDB000453,,,58-55-9,oxo(het)arene@aromatic compound@heterocyclic compound,0,0,13,3,1,0,0,0,0,180.167,0,180.065,130.4,0,1,0,0,0,0.0,69.3,0,0,267.0,180.065,0,1,1,1,0,0,0,0,0,0,0,0
2164,amobarbital,"5-ethyl-5-(3-methylbutyl)-1,3-diazinane-2,4,6-trione",CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,"InChI=1S/C11H18N2O3/c1-4-11(6-5-7(2)3)8(14)12-10(16)13-9(11)15/h7H,4-6H2,1-3H3,(H2,12,13,14,15,16)",slightly bitter@bitter,odorless,['bitter'],,,1,,229.0,0,,,,57-43-2,"carboxylic acid derivative@carboxylic acid imide@carboxylic acid imide, N-unsubstituted@urea@heterocyclic compound",0,0,16,3,2,0,0,0,0,226.276,0,226.132,174.4,0,1,0,4,0,2.1,75.3,0,0,303.0,226.132,0,1,1,1,0,0,0,0,0,0,0,0
2242,25548-16-7,3-amino-4-[(1-methoxy-1-oxo-3-phenylpropan-2-yl)amino]-4-oxobutanoic acid,COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N,"InChI=1S/C14H18N2O5/c1-21-14(20)11(7-9-5-3-2-4-6-9)16-13(19)10(15)8-12(17)18/h2-6,10-11H,7-8,15H2,1H3,(H,16,19)(H,17,18)","sweet@in the presence of moisture it hydrolyzes to form aspartylphenylalanine and a diketopiperazine derivative, with a resulting loss of sweetness.",odorless,['sweet'],,,0,Sweet,,0,,5.0,,7421-84-3@25548-16-7,amine@primary amine@primary aliphatic amine (alkylamine)@carboxylic acid derivative@carboxylic acid@carboxylic acid ester@carboxylic acid amide@secondary carboxylic acid amide@aromatic compound,0,2,21,6,3,1,0,0,0,294.307,0,294.122,225.8,0,1,0,8,0,-2.7,119.0,0,2,380.0,294.122,0,1,0,0,1,0,0,0,0,0,1,0
2519,caffeine,"1,3,7-trimethylpurine-2,6-dione",CN1C=NC2=C1C(=O)N(C(=O)N2C)C,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",bitter taste,odorless,"['odorless', 'bitter']",,odorless@bitter,1,,46.0,0,FDB002100,,2224,58-08-2@95789-13-2,oxo(het)arene@aromatic compound@heterocyclic compound,0,0,14,3,0,0,1,0,0,194.194,1,194.08,143.9,0,1,0,0,0,-0.1,58.4,0,0,293.0,194.08,0,0,1,1,0,0,0,0,0,0,0,0
