pubchem_id,common_name,inchi,smile,sulfur,bitter,fruity,herbal,floral,green,woody,flavor_profile
125,4-hydroxybenzyl alcohol,"InChI=1S/C7H8O2/c8-5-6-1-3-7(9)4-2-6/h1-4,8-9H,5H2",C1=CC(=CC=C1CO)O,0,1,1,0,0,0,0,"['coconut', 'bitter', 'sweet', 'fruity', 'almond']"
240,benzaldehyde,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,C1=CC=C(C=C1)C=O,0,1,0,0,0,0,0,"['cherry', 'almond', 'sweet', 'burnt sugar', 'sharp', 'strong', 'bitter']"
323,coumarin,InChI=1S/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,C1=CC=C2C(=C1)C=CC(=O)O2,0,1,0,0,0,1,0,"['sweet', 'new mown hay', 'green', 'tonka', 'bitter']"
370,Gallic acid,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)",C1=C(C=C(C(=C1O)O)O)C(=O)O,0,1,0,0,0,0,0,['bitter']
653,CID 653,"InChI=1S/C19H12O6/c20-16-10-5-1-3-7-14(10)24-18(22)12(16)9-13-17(21)11-6-2-4-8-15(11)25-19(13)23/h1-8,22-23H,9H2",C1=CC=C2C(=C1)C(=O)C(=C(O2)O)CC3=C(OC4=CC=CC=C4C3=O)O,0,1,0,0,0,0,0,['bitter']
679,dimethyl sulfoxide,InChI=1S/C2H6OS/c1-4(2)3/h1-2H3,CS(=O)C,0,1,0,0,0,0,0,"['fatty', 'mushroom', 'cheesy', 'garlic', 'bitter', 'oily']"
768,hydrogen cyanide,InChI=1S/CHN/c1-2/h1H,C#N,0,1,0,0,0,0,0,['bitter']
784,hydrogen peroxide,InChI=1S/H2O2/c1-2/h1-2H,OO,0,1,0,0,0,0,0,['bitter']
932,naringenin,"InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2",C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,0,1,0,0,0,0,0,['bitter']
1048,pyrazole,"InChI=1S/C3H4N2/c1-2-4-5-3-1/h1-3H,(H,4,5)",C1=CNN=C1,0,1,0,0,0,0,0,['bitter']
1119,sulfur dioxide,InChI=1S/O2S/c1-3-2,O=S=O,0,1,0,0,0,0,0,['bitter']
1123,taurine,"InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)",C(CS(=O)(=O)O)N,0,1,0,0,0,0,0,"['bland', 'bitter']"
1130,thiamine,"InChI=1S/C12H17N4OS/c1-8-11(3-4-17)18-7-16(8)6-10-5-14-9(2)15-12(10)13/h5,7,17H,3-4,6H2,1-2H3,(H2,13,14,15)/q+1",CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,0,1,0,0,0,0,0,['bitter']
1889,DL-Liquiritigenin,"InChI=1S/C15H12O4/c16-10-3-1-9(2-4-10)14-8-13(18)12-6-5-11(17)7-15(12)19-14/h1-7,14,16-17H,8H2",C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O,0,1,0,0,0,0,0,['bitter']
1983,acetaminophen,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)",CC(=O)NC1=CC=C(C=C1)O,0,1,0,0,0,0,0,['bitter']
2153,theophylline,"InChI=1S/C7H8N4O2/c1-10-5-4(8-3-9-5)6(12)11(2)7(10)13/h3H,1-2H3,(H,8,9)",CN1C2=C(C(=O)N(C1=O)C)NC=N2,0,1,0,0,0,0,0,['bitter']
