pubchem_id,common_name,inchi,smile,sulfur,bitter,fruity,herbal,floral,green,woody,flavor_profile
62661,4-Methyl-1-phenyl-2-pentanol,"InChI=1S/C12H18O/c1-10(2)8-12(13)9-11-6-4-3-5-7-11/h3-7,10,12-13H,8-9H2,1-2H3",CC(C)CC(CC1=CC=CC=C1)O,0,0,0,1,1,1,0,"['herbal', 'floral', 'creamy', 'celery', 'green']"
154387,UNII-ZNF8RW35GK,"InChI=1S/C13H20N2O2.2H2O/c1-3-15(4-2)9-10-17-13(16)11-5-7-12(14)8-6-11;;/h5-8H,3-4,9-10,14H2,1-2H3;2*1H2",CCN(CC)CCOC(=O)C1=CC=C(C=C1)N.O.O,0,1,0,0,0,0,0,['bitter']
118134,Decatone,"InChI=1S/C13H22O/c1-9(2)10-3-4-12-8-13(14)6-5-11(12)7-10/h9-12H,3-8H2,1-2H3",CC(C)C1CCC2CC(=O)CCC2C1,0,0,0,0,0,1,1,"['gardenia', 'green', 'vetiver', 'woody', 'rhubarb', 'grapefruit']"
6420258,Ethyl 5-hexenoate,"InChI=1S/C8H14O2/c1-3-5-6-7-8(9)10-4-2/h3H,1,4-7H2,2H3",CCOC(=O)CCCC=C,0,0,1,0,0,0,0,"['pineapple', 'fruity']"
5281654,Isorhamnetin,"InChI=1S/C16H12O7/c1-22-11-4-7(2-3-9(11)18)16-15(21)14(20)13-10(19)5-8(17)6-12(13)23-16/h2-6,17-19,21H,1H3",COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,0,1,0,0,0,0,0,['bitter']
176983,"p-Mentha-1,3,8-triene","InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4,6H,1,5,7H2,2-3H3",CC1=CC=C(CC1)C(=C)C,0,0,0,1,0,0,1,"['woody', 'herbal', 'turpentine', 'camphor']"
54676038,dicumarol,"InChI=1S/C19H12O6/c20-16-10-5-1-3-7-14(10)24-18(22)12(16)9-13-17(21)11-6-2-4-8-15(11)25-19(13)23/h1-8,20-21H,9H2",C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O,0,1,0,0,0,0,0,['bitter']
142266,Benzyl 3-oxobutanoate,"InChI=1S/C11H12O3/c1-9(12)7-11(13)14-8-10-5-3-2-4-6-10/h2-6H,7-8H2,1H3",CC(=O)CC(=O)OCC1=CC=CC=C1,0,0,1,0,1,0,0,"['benzyl acetate', 'floral', 'sweet', 'fruity', 'benzyl propionate']"
238498,Ethyl 3-oxohexanoate,"InChI=1S/C8H14O3/c1-3-5-7(9)6-8(10)11-4-2/h3-6H2,1-2H3",CCCC(=O)CC(=O)OCC,0,0,1,0,0,1,0,"['berry', 'sweaty', 'sweet', 'fruity', 'mossy', 'green']"
22833654,HMDB05796,"InChI=1S/C16H26O7/c1-8-4-9(5-16(2,3)10(8)6-17)22-15-14(21)13(20)12(19)11(7-18)23-15/h6,9,11-15,18-21H,4-5,7H2,1-3H3/t9-,11-,12?,13+,14?,15-/m1/s1",CC1=C(C(CC(C1)OC2C(C(C(C(O2)CO)O)O)O)(C)C)C=O,0,1,0,0,0,0,0,['bitter']
16582,2-Isobutoxynaphthalene,"InChI=1S/C14H16O/c1-11(2)10-15-14-8-7-12-5-3-4-6-13(12)9-14/h3-9,11H,10H2,1-2H3",CC(C)COC1=CC2=CC=CC=C2C=C1,0,0,1,0,0,0,0,"['orange', 'strawberry', 'sweet', 'naphthyl', 'fruity', 'blossom']"
10724,alpha-Tetralone,"InChI=1S/C10H10O/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-2,4,6H,3,5,7H2",C1CC2=CC=CC=C2C(=O)C1,0,1,0,0,0,0,0,['bitter']
