pubchem_id,common_name,inchi,smile,sulfur,bitter,fruity,herbal,floral,green,woody,flavor_profile
244,benzyl alcohol,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",C1=CC=C(C=C1)CO,0,0,0,0,1,0,0,"['berry', 'balsamic', 'rose', 'floral', 'walnut', 'sweet', 'cherry', 'phenolic', 'flower', 'grapefruit']"
261,butyraldehyde,"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3",CCCC=O,0,0,1,0,1,1,1,"['bready', 'chocolate', 'creamy', 'pear', 'vegetable', 'fatty', 'earthy', 'woody', 'pungent', 'nutty', 'wine_like', 'meaty', 'spicy', 'citrus', 'herbaceous', 'green', 'apple', 'floral', 'musty', 'cocoa', 'fruity', 'malty']"
798,indole,"InChI=1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H",C1=CC=C2C(=C1)C=CN2,0,0,0,0,1,0,0,"['burnt', 'jasmine', 'mothball', 'animal', 'fishy', 'floral', 'moth ball', 'naphthelene', 'honey', 'fecal']"
999,Phenylacetic Acid,"InChI=1S/C8H8O2/c9-8(10)6-7-4-2-1-3-5-7/h1-5H,6H2,(H,9,10)",C1=CC=C(C=C1)CC(=O)O,0,0,0,0,1,0,0,"['honeysuckle', 'sour', 'waxy', 'floral', 'sweet', 'honey', 'civet', 'flower']"
2682,1-Hexadecanol,"InChI=1S/C16H34O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17/h17H,2-16H2,1H3",CCCCCCCCCCCCCCCCO,0,0,0,0,1,0,0,"['wax', 'floral', 'waxy', 'flower']"
5144,safrole,"InChI=1S/C10H10O2/c1-2-3-8-4-5-9-10(6-8)12-7-11-9/h2,4-6H,1,3,7H2",C=CCC1=CC2=C(C=C1)OCO2,0,0,0,0,1,0,1,"['spice', 'warm', 'floral', 'sassafrass', 'sweet', 'woody', 'anise', 'spicy']"
6501,77-83-8,"InChI=1S/C12H14O3/c1-3-14-11(13)10-12(2,15-10)9-7-5-4-6-8-9/h4-8,10H,3H2,1-2H3",CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,0,0,1,0,1,0,0,"['strawberry', 'floral', 'fatty', 'sweet', 'fruity', 'honey']"
6548,Tetrahydrolinalool,"InChI=1S/C10H22O/c1-5-10(4,11)8-6-7-9(2)3/h9,11H,5-8H2,1-4H3",CCC(C)(CCCC(C)C)O,0,0,0,0,1,0,1,"['lilac', 'floral', 'oily', 'lily', 'woody', 'tea', 'bois de rose']"
6549,Linalool,"InChI=1S/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3",CC(=CCCC(C)(C=C)O)C,0,0,0,0,1,1,1,"['lemon', 'citrus', 'orange', 'floral', 'sweet', 'woody', 'blueberry', 'bois de rose', 'lavender', 'flower', 'green']"
6561,Isobutyraldehyde,"InChI=1S/C4H8O/c1-4(2)3-5/h3-4H,1-2H3",CC(C)C=O,0,0,0,0,1,1,0,"['malt', 'fresh', 'floral', 'pungent', 'aldehydic', 'green']"
