pubchem_id,common_name,inchi,smile,sulfur,bitter,fruity,herbal,floral,green,woody,flavor_profile
261,butyraldehyde,"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3",CCCC=O,0,0,1,0,1,1,1,"['bready', 'chocolate', 'creamy', 'pear', 'vegetable', 'fatty', 'earthy', 'woody', 'pungent', 'nutty', 'wine_like', 'meaty', 'spicy', 'citrus', 'herbaceous', 'green', 'apple', 'floral', 'musty', 'cocoa', 'fruity', 'malty']"
323,coumarin,InChI=1S/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,C1=CC=C2C(=C1)C=CC(=O)O2,0,1,0,0,0,1,0,"['sweet', 'new mown hay', 'green', 'tonka', 'bitter']"
326,4-isopropylbenzaldehyde,"InChI=1S/C10H12O/c1-8(2)10-5-3-9(7-11)4-6-10/h3-8H,1-2H3",CC(C)C1=CC=C(C=C1)C=O,0,0,0,1,0,1,0,"['spicy', 'acid', 'herbal', 'sharp', 'oily', 'cumin', 'green']"
389,"2,5-Diaminopentanoic acid","InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)",C(CC(C(=O)O)N)CN,0,0,0,0,0,1,0,"['bark', 'green', 'mild']"
454,Octanal,"InChI=1S/C8H16O/c1-2-3-4-5-6-7-8-9/h8H,2-7H2,1H3",CCCCCCCC=O,0,0,0,0,0,1,0,"['lemon', 'citrus', 'soap', 'orange peel', 'fat', 'waxy', 'fatty', 'aldehydic', 'green']"
957,1-octanol,"InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3",CCCCCCCCO,0,0,0,0,0,1,0,"['burnt', 'orange', 'rose', 'waxy', 'chemical', 'metal', 'aldehydic', 'mushroom', 'green']"
997,phenylpyruvic acid,"InChI=1S/C9H8O3/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5H,6H2,(H,11,12)",C1=CC=C(C=C1)CC(=O)C(=O)O,0,0,0,0,0,1,0,"['almond', 'acidic', 'green', 'sweet', 'honey', 'weedy', 'phenolic']"
998,phenylacetaldehyde,"InChI=1S/C8H8O/c9-7-6-8-4-2-1-3-5-8/h1-5,7H,6H2",C1=CC=C(C=C1)CC=O,0,0,0,0,0,1,0,"['hyacinth', 'honey', 'clover', 'sweet', 'hawthorne', 'cocoa', 'grapefruit', 'green', 'peanut', 'floral', 'bitter']"
1068,dimethyl sulfide,InChI=1S/C2H6S/c1-3-2/h1-2H3,CSC,1,0,0,0,0,1,0,"['sulfur', 'sulfurous', 'cabbage', 'onion', 'gasoline', 'vegetable', 'sulfury', 'sweet corn', 'tomato', 'radish', 'wild', 'green']"
6184,Hexanal,"InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3",CCCCCC=O,0,0,1,0,0,1,0,"['leafy', 'grass', 'sweaty', 'tallow', 'fat', 'fresh', 'fatty', 'fruity', 'aldehydic', 'green']"
6493,3-Methyl-3-Pentanol,"InChI=1S/C6H14O/c1-4-6(3,7)5-2/h7H,4-5H2,1-3H3",CCC(C)(CC)O,0,0,1,0,0,1,0,"['leafy', 'powerful', 'fruity', 'green']"
6544,Isophorone,"InChI=1S/C9H14O/c1-7-4-8(10)6-9(2,3)5-7/h4H,5-6H2,1-3H3",CC1=CC(=O)CC(C1)(C)C,0,0,1,0,0,1,1,"['cooling', 'tobacco', 'cedarwood', 'leather', 'musty', 'woody', 'sweet', 'fruity', 'camphoraceous', 'camphor', 'green']"
6549,Linalool,"InChI=1S/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3",CC(=CCCC(C)(C=C)O)C,0,0,0,0,1,1,1,"['lemon', 'citrus', 'orange', 'floral', 'sweet', 'woody', 'blueberry', 'bois de rose', 'lavender', 'flower', 'green']"
6561,Isobutyraldehyde,"InChI=1S/C4H8O/c1-4(2)3-5/h3-4H,1-2H3",CC(C)C=O,0,0,0,0,1,1,0,"['malt', 'fresh', 'floral', 'pungent', 'aldehydic', 'green']"
6986,2-Isopropyl-5-methylcyclohexanone,"InChI=1S/C10H18O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-9H,4-6H2,1-3H3",CC1CCC(C(=O)C1)C(C)C,0,0,0,0,0,1,0,"['mint', 'fresh', 'peppermint', 'sweet', 'cool', 'minty', 'green']"
7095,Biphenyl,InChI=1S/C12H10/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h1-10H,C1=CC=C(C=C1)C2=CC=CC=C2,0,0,0,0,0,1,0,"['geranium', 'rose', 'pungent', 'green']"
7146,2-Phenylpropanal,"InChI=1S/C9H10O/c1-8(7-10)9-5-3-2-4-6-9/h2-8H,1H3",CC(C=O)C1=CC=CC=C1,0,0,0,0,1,1,0,"['lilac', 'sharp', 'fresh', 'floral', 'leaf', 'hyacinth', 'green']"
7193,Isopentyl benzoate,"InChI=1S/C12H16O2/c1-10(2)8-9-14-12(13)11-6-4-3-5-7-11/h3-7,10H,8-9H2,1-2H3",CC(C)CCOC(=O)C1=CC=CC=C1,0,0,0,0,0,1,0,"['sweet', 'waxy', 'balsamic', 'green']"
7335,Carvyl Acetate,"InChI=1S/C12H18O2/c1-8(2)11-6-5-9(3)12(7-11)14-10(4)13/h5,11-12H,1,6-7H2,2-4H3",CC1=CCC(CC1OC(=O)C)C(=C)C,0,0,1,0,0,1,0,"['sweet', 'fruity', 'minty', 'spearmint', 'green']"
7353,Butyl isobutyrate,"InChI=1S/C8H16O2/c1-4-5-6-10-8(9)7(2)3/h7H,4-6H2,1-3H3",CCCCOC(=O)C(C)C,0,0,1,0,0,1,0,"['apple', 'banana', 'sweet', 'fruity', 'tropical', 'green']"
7359,2-Ethylbutanal,"InChI=1S/C6H12O/c1-3-6(4-2)5-7/h5-6H,3-4H2,1-2H3",CCC(CC)C=O,0,0,1,0,0,1,0,"['ethereal', 'cocoa', 'sweet', 'fruity', 'green']"
7460,Alpha-Phellandrene,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4-6,8,10H,7H2,1-3H3",CC1=CCC(C=C1)C(C)C,0,0,0,1,0,1,1,"['mint', 'citrus', 'peppery', 'spice', 'herbal', 'turpentine', 'woody', 'terpene', 'green']"
7523,2-Ethylpyridine,"InChI=1S/C7H9N/c1-2-7-5-3-4-6-8-7/h3-6H,2H2,1H3",CCC1=CC=CC=N1,0,0,0,0,0,1,0,"['grassy', 'grass', 'green']"
