pubchem_id,common_name,inchi,smile,sulfur,bitter,fruity,herbal,floral,green,woody,flavor_profile
325,4-isopropylbenzyl alcohol,"InChI=1S/C10H14O/c1-8(2)10-5-3-9(7-11)4-6-10/h3-6,8,11H,7H2,1-2H3",CC(C)C1=CC=C(C=C1)CO,0,0,0,1,0,0,1,"['spicy', 'herb', 'herbal', 'leather', 'caraway', 'strong', 'wood', 'cumin']"
326,4-isopropylbenzaldehyde,"InChI=1S/C10H12O/c1-8(2)10-5-3-9(7-11)4-6-10/h3-8H,1-2H3",CC(C)C1=CC=C(C=C1)C=O,0,0,0,1,0,1,0,"['spicy', 'acid', 'herbal', 'sharp', 'oily', 'cumin', 'green']"
660,dihydrocoumarin,"InChI=1S/C9H8O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-4H,5-6H2",C1CC(=O)OC2=CC=CC=C21,0,0,0,1,0,0,0,"['coconut', 'tobacco', 'coumarin', 'herbal', 'creamy', 'sweet', 'cinnamon', 'almond', 'tonka']"
2345,Benzyl Benzoate,"InChI=1S/C14H12O2/c15-14(13-9-5-2-6-10-13)16-11-12-7-3-1-4-8-12/h1-10H,11H2",C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,0,0,0,1,0,0,0,"['oil', 'pineapple', 'balsamic', 'herbal', 'strawberry', 'oily', 'faint', 'sweet', 'balsam', 'cherry', 'almond', 'herb', 'cheese']"
2758,Eucalyptol,"InChI=1S/C10H18O/c1-9(2)8-4-6-10(3,11-9)7-5-8/h8H,4-7H2,1-3H3",CC1(C2CCC(O1)(CC2)C)C,0,0,0,1,0,0,0,"['mint', 'pepper', 'herbal', 'eucalyptus', 'sweet', 'camphor']"
6448,Bornyl Acetate,"InChI=1S/C12H20O2/c1-8(13)14-10-7-9-5-6-12(10,4)11(9,2)3/h9-10H,5-7H2,1-4H3",CC(=O)OC1CC2CCC1(C2(C)C)C,0,0,0,1,0,0,1,"['cedar', 'balsamic', 'spice', 'herbal', 'fresh', 'sweet', 'woody', 'pine needle', 'pine', 'camphor']"
6505,Acetyl Tributyl Citrate,"InChI=1S/C20H34O8/c1-5-8-11-25-17(22)14-20(28-16(4)21,19(24)27-13-10-7-3)15-18(23)26-12-9-6-2/h5-15H2,1-4H3",CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,0,0,0,1,0,0,0,"['very faint', 'sweet', 'herbal', 'wine']"
6616,Camphene,"InChI=1S/C10H16/c1-7-8-4-5-9(6-8)10(7,2)3/h8-9H,1,4-6H2,2-3H3",CC1(C2CCC(C2)C1=C)C,0,0,0,1,0,0,1,"['fir needle', 'woody', 'herbal', 'camphor']"
6873,Isobutyl salicylate,"InChI=1S/C11H14O3/c1-8(2)7-14-11(13)9-5-3-4-6-10(9)12/h3-6,8,12H,7H2,1-2H3",CC(C)COC(=O)C1=CC=CC=C1O,0,0,0,1,0,0,0,"['herbal', 'floral', 'clover', 'bitter', 'orchid']"
6874,Isoamyl salicylate,"InChI=1S/C12H16O3/c1-9(2)7-8-15-12(14)10-5-3-4-6-11(10)13/h3-6,9,13H,7-8H2,1-2H3",CC(C)CCOC(=O)C1=CC=CC=C1O,0,0,0,1,0,0,1,"['wintergreen', 'tobacco', 'metallic', 'floral', 'soapy', 'herbal', 'woody', 'bitter', 'orchid']"
6987,Piperitone,"InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)6-10(9)11/h6-7,9H,4-5H2,1-3H3",CC1=CC(=O)C(CC1)C(C)C,0,0,1,1,0,0,0,"['mint', 'herbal', 'fresh', 'fruit', 'sweet', 'minty', 'medicinal', 'camphor']"
6988,Pulegone,"InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)6-10(9)11/h8H,4-6H2,1-3H3",CC1CCC(=C(C)C)C(=O)C1,0,0,0,1,0,0,0,"['lime', 'herbal', 'buchu', 'fresh', 'peppermint', 'minty', 'camphor']"
6989,Thymol,"InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)6-10(9)11/h4-7,11H,1-3H3",CC1=CC(=C(C=C1)C(C)C)O,0,0,0,1,0,0,0,"['herbal', 'thyme', 'camphor', 'medicinal', 'phenolic']"
7151,Methyl Nicotinate,"InChI=1S/C7H7NO2/c1-10-7(9)6-3-2-4-8-5-6/h2-5H,1H3",COC(=O)C1=CN=CC=C1,0,0,0,1,0,0,0,"['tobacco', 'herbal', 'warm']"
7304,1-Methyl-1H-pyrrole,"InChI=1S/C5H7N/c1-6-4-2-3-5-6/h2-5H,1H3",CN1C=CC=C1,0,0,0,1,0,0,1,"['smoky', 'powerful', 'herbal', 'woody']"
7460,Alpha-Phellandrene,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4-6,8,10H,7H2,1-3H3",CC1=CCC(C=C1)C(C)C,0,0,0,1,0,1,1,"['mint', 'citrus', 'peppery', 'spice', 'herbal', 'turpentine', 'woody', 'terpene', 'green']"
7461,Gamma-Terpinene,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,7-8H,5-6H2,1-3H3",CC1=CCC(=CC1)C(C)C,0,1,0,1,0,0,1,"['lemon', 'gasoline', 'tropical', 'terpene', 'turpentine', 'herbal', 'woody', 'bitter', 'oily', 'lime']"
7462,Alpha-Terpinene,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,6,8H,5,7H2,1-3H3",CC1=CC=C(CC1)C(C)C,0,1,0,1,0,0,1,"['lemon', 'citrus', 'terpene', 'medicinal', 'herbal', 'woody', 'bitter', 'camphoraceous']"
