pubchem_id,common_name,inchi,smile,sulfur,bitter,fruity,herbal,floral,green,woody,flavor_profile
876,Dl-Methionine,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)",CSCCC(C(=O)O)N,1,0,0,0,0,0,0,"['acidic', 'sulfurous', 'mild']"
878,methanethiol,"InChI=1S/CH4S/c1-2/h2H,1H3",CS,1,0,0,0,0,0,0,"['sulfur', 'garlic', 'gasoline', 'decomposing cabbage']"
1068,dimethyl sulfide,InChI=1S/C2H6S/c1-3-2/h1-2H3,CSC,1,0,0,0,0,1,0,"['sulfur', 'sulfurous', 'cabbage', 'onion', 'gasoline', 'vegetable', 'sulfury', 'sweet corn', 'tomato', 'radish', 'wild', 'green']"
1136,4-Methyl-5-Thiazoleethanol,"InChI=1S/C6H9NOS/c1-5-6(2-3-8)9-4-7-5/h4,8H,2-3H2,1H3",CC1=C(SC=N1)CCO,1,0,0,0,0,0,0,"['sulfur', 'cooked beef juice', 'fatty']"
5862,L-cysteine,"InChI=1S/C3H7NO2S/c4-2(1-7)3(5)6/h2,7H,1,4H2,(H,5,6)/t2-/m0/s1",C(C(C(=O)O)N)S,1,0,0,0,0,0,0,['sulfury']
6213,Dimethyl sulfone,"InChI=1S/C2H6O2S/c1-5(2,3)4/h1-2H3",CS(=O)(=O)C,1,0,0,0,0,0,0,"['sulfur', 'burnt', 'sulfurous']"
6343,Ethanethiol,"InChI=1S/C2H6S/c1-2-3/h3H,2H2,1H3",CCS,1,0,1,0,0,0,0,"['sulfurous', 'fruity']"
6364,2-Propanethiol,"InChI=1S/C3H8S/c1-3(2)4/h3-4H,1-2H3",CC(C)S,1,0,0,0,0,0,0,"['sulfurous', 'onion', 'ripe', 'gassy', 'strong', 'meaty']"
6514,3-Mercaptopropionic Acid,"InChI=1S/C3H6O2S/c4-3(5)1-2-6/h6H,1-2H2,(H,4,5)",C(CS)C(=O)O,1,0,0,0,0,0,0,"['sulfurous', 'roasted']"
6920,2-Acetylthiophene,"InChI=1S/C6H6OS/c1-5(7)6-3-2-4-8-6/h2-4H,1H3",CC(=O)C1=CC=CS1,1,0,0,0,0,0,0,"['sulfur', 'sulfury']"
7058,2-Naphthalenethiol,"InChI=1S/C10H8S/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7,11H",C1=CC=C2C=C(C=CC2=C1)S,1,0,0,0,0,0,1,"['sulfurous', 'roasted', 'rubbery', 'woody', 'creamy', 'artichoke', 'meaty']"
7222,Benzothiazole,InChI=1S/C7H5NS/c1-2-4-7-6(3-1)8-5-9-7/h1-5H,C1=CC=C2C(=C1)N=CS2,1,0,0,0,0,0,0,"['rubber', 'vegetable', 'gasoline', 'sulfury', 'meat', 'rubbery', 'coffee', 'nutty', 'cooked']"
7363,Furfuryl mercaptan,"InChI=1S/C5H6OS/c7-4-5-2-1-3-6-5/h1-3,7H,4H2",C1=COC(=C1)CS,1,0,0,0,0,0,0,"['roast', 'chocolate', 'burnt', 'sulfurous', 'roasted', 'smoky', 'sulfury', 'fishy', 'oily', 'fatty', 'coffee']"
7364,Thiophene-2-carbaldehyde,InChI=1S/C5H4OS/c6-4-5-2-1-3-7-5/h1-4H,C1=CSC(=C1)C=O,1,0,0,0,0,0,0,"['sulfur', 'sulfurous']"
7509,Benzyl Mercaptan,"InChI=1S/C7H8S/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",C1=CC=C(C=C1)CS,1,0,0,0,0,0,0,"['mint', 'sulfurous', 'garlic', 'onion', 'sharp', 'coffee', 'horseradish', 'alliaceous']"
8012,1-Butanethiol,"InChI=1S/C4H10S/c1-2-3-4-5/h5H,2-4H2,1H3",CCCCS,1,0,0,0,0,0,0,"['garlic', 'onion', 'egg', 'sulfury', 'coffee']"
8013,"1,3-Propanedithiol","InChI=1S/C3H8S2/c4-2-1-3-5/h4-5H,1-3H2",C(CS)CS,1,0,0,0,0,0,0,"['sulfurous', 'meaty']"
8067,1-Pentanethiol,"InChI=1S/C5H12S/c1-2-3-4-5-6/h6H,2-5H2,1H3",CCCCCS,1,0,0,0,0,0,0,"['roast', 'sulfurous', 'vegetable', 'meat', 'fatty']"
8106,1-Hexanethiol,"InChI=1S/C6H14S/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",CCCCCCS,1,0,0,0,0,0,0,"['sulfur', 'burnt', 'sulfurous', 'roasted', 'garlic', 'fat', 'sulfury', 'fatty', 'meaty']"
8712,2-Methylbenzenethiol,"InChI=1S/C7H8S/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3",CC1=CC=CC=C1S,1,0,0,0,0,0,0,"['rubber', 'sulfurous', 'garlic', 'onion', 'egg', 'meaty']"
9609,Diethyl sulfide,"InChI=1S/C4H10S/c1-3-5-4-2/h3-4H2,1-2H3",CCSCC,1,0,0,0,0,0,0,"['ethereal', 'sulfurous']"
10448,3-methylthiopropanol,"InChI=1S/C4H10OS/c1-6-4-2-3-5/h5H,2-4H2,1H3",CSCCCO,1,0,0,0,0,0,0,"['sulfurous', 'potato', 'onion', 'vegetable', 'sweet', 'soup']"
10452,"1,4-Dithiane",InChI=1S/C4H8S2/c1-2-6-4-3-5-1/h1-4H2,C1CSCCS1,1,0,0,0,0,0,0,"['solvent', 'sulfurous', 'garlic', 'onion', 'pyridine', 'fishy']"
10902,"1,2-Ethanedithiol","InChI=1S/C2H6S2/c3-1-2-4/h3-4H,1-2H2",C(CS)S,1,0,0,0,0,0,0,['sulfury']
11126,2-Methylthiophene,"InChI=1S/C5H6S/c1-5-3-2-4-6-5/h2-4H,1H3",CC1=CC=CS1,1,0,0,0,0,1,0,"['sulfur', 'sulfurous', 'roasted', 'onion', 'alliaceous', 'green']"
11168,Methyl Thiocyanate,InChI=1S/C2H3NS/c1-4-2-3/h1H3,CSC#N,1,0,0,0,0,0,0,['sulfur']
11617,Diallyl Sulfide,"InChI=1S/C6H10S/c1-3-5-7-6-4-2/h3-4H,1-2,5-6H2",C=CCSCC=C,1,0,0,0,0,0,0,"['sulfurous', 'garlic', 'onion', 'horseradish', 'metallic']"
12264,Diisopropyl sulfide,"InChI=1S/C6H14S/c1-5(2)7-6(3)4/h5-6H,1-4H3",CC(C)SC(C)C,1,0,0,0,0,0,0,"['garlic', 'vegetable', 'sulfury']"
12377,Dipropyl disulfide,"InChI=1S/C6H14S2/c1-3-5-7-8-6-4-2/h3-6H2,1-2H3",CCCSSCCC,1,0,0,0,0,1,0,"['burnt', 'onion', 'sulfury', 'earthy', 'green']"
12386,Dibutyl Disulfide,"InChI=1S/C8H18S2/c1-3-5-7-9-10-8-6-4-2/h3-8H2,1-2H3",CCCCSSCCCC,1,0,0,0,0,0,0,['sulfurous']
12514,"2,5-Dimethylthiophene","InChI=1S/C6H8S/c1-5-3-4-6(2)7-5/h3-4H,1-2H3",CC1=CC=C(S1)C,1,0,0,0,0,0,0,"['nutty', 'sulfury']"
12779,Benzyl methyl disulfide,"InChI=1S/C8H10S2/c1-9-10-7-8-5-3-2-4-6-8/h2-6H,7H2,1H3",CSSCC1=CC=CC=C1,1,0,0,0,0,1,0,"['cabbage', 'sulfurous', 'vegetable', 'metallic', 'green']"
