pubchem_id,common_name,iupac_name,smile,inchi,taste,odor,flavor_profile,fema_flavor_profile,fooddb_flavor_profile,bitter,super_sweet,bitterdb_id,flavornet_id,fooddb_id,supersweetdb_id,fema_number,cas_id,functional_groups,bond_stereo_count,undefined_atom_stereocenter_count,heavy_atom_count,hba_count,hbd_count,synthetic,natural,charge,isotope_atom_count,molecular_weight,fenoroli_and_os,exact_mass,volume3d,unknown_natural,covalently_bonded_unit_count,undefined_bond_stereocenter_count,num_rotatablebonds,defined_bond_stereocenter_count,xlogp,topological_polor_surfacearea,defined_atom_stereocenter_count,atom_stereo_count,complexity,monoisotopic_mass,has_odor,one_tag,has_bitter,no_sweet,has_sweet,fruity,green,floral,woody,herbal,only_sweet,sweet_and_something_else
58,2-oxobutanoic acid,2-oxobutanoic acid,CCC(=O)C(=O)O,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)",,,"['brown', 'caramel', 'lactonic', 'sweet', 'creamy']",Savory,brown@caramel@lactonic@sweet@creamy,0,,,0,FDB003359,,3723,600-18-0,carbonyl compound@ketone@carboxylic acid derivative@carboxylic acid,0,0,7,3,1,0,1,0,0,102.089,1,102.032,78.5,0,1,0,2,0,0.1,54.4,0,0,95.1,102.032,-1,0,0,0,1,0,0,0,0,0,0,1
107,3-Phenylpropanoic acid,3-phenylpropanoic acid,C1=CC=C(C=C1)CCC(=O)O,"InChI=1S/C9H10O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,10,11)",,,"['balsamic', 'rose', 'fatty', 'sweet', 'musk', 'cinnamon']",,balsamic@rose@fatty@sweet@musk@cinnamon,0,,,1,FDB008271,,2889,501-52-0,carboxylic acid derivative@carboxylic acid@aromatic compound,0,0,11,2,1,0,1,0,0,150.177,1,150.068,123.8,0,1,0,3,0,1.8,37.3,0,0,126.0,150.068,-1,0,0,0,1,0,0,0,0,0,0,1
125,4-hydroxybenzyl alcohol,4-(hydroxymethyl)phenol,C1=CC(=CC=C1CO)O,"InChI=1S/C7H8O2/c8-5-6-1-3-7(9)4-2-6/h1-4,8-9H,5H2",,,"['coconut', 'bitter', 'sweet', 'fruity', 'almond']",Nuts,coconut@bitter@sweet@fruity@almond,0,,,0,FDB012553,,3987,623-05-2,hydroxy compound@alcohol@primary alcohol@phenol or hydroxyhetarene@aromatic compound,0,0,9,2,2,0,1,0,0,124.139,1,124.052,100.4,0,1,0,1,0,0.2,40.5,0,0,75.0,124.052,-1,0,0,0,1,0,0,0,0,0,0,1
126,4-hydroxybenzaldehyde,4-hydroxybenzaldehyde,C1=CC(=CC=C1C=O)O,"InChI=1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H",,,"['woody', 'sweet', 'balsam', 'nutty', 'almond']",Roast,woody@sweet@balsam@nutty@almond,0,,,0,FDB010504,,3984,65581-83-1@123-08-0@26099-71-8,carbonyl compound@aldehyde@hydroxy compound@phenol or hydroxyhetarene@aromatic compound,0,0,9,2,1,0,1,0,0,122.123,1,122.037,98.5,0,1,0,1,0,1.4,37.3,0,0,93.1,122.037,-1,0,0,0,1,0,0,0,1,0,0,1
179,acetoin,3-hydroxybutan-2-one,CC(C(=O)C)O,"InChI=1S/C4H8O2/c1-3(5)4(2)6/h3,5H,1-2H3",fatty creamy tub butter taste,"buttery odor@bland, woody, yogurt odor","['butter', 'cream', 'milky', 'fatty', 'creamy', 'sweet', 'dairy', 'buttery']","Butter, Creamy, Green Pepper",butter@cream@milky@fatty@creamy@sweet@dairy@buttery,0,,,1,FDB011799,,2008,513-86-0,carbonyl compound@ketone@hydroxy compound@alcohol@secondary alcohol,0,1,6,2,1,0,1,0,0,88.106,1,88.052,73.0,0,1,0,1,0,-0.3,37.3,0,1,58.6,88.052,1,0,0,0,1,0,0,0,0,0,0,1
239,beta-alanine,3-aminopropanoic acid,C(CN)C(=O)O,"InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)",,,"['sweet', 'odorless']",,sweet@odorless,0,,,0,FDB002253,,3252,107-95-9,amine@primary amine@primary aliphatic amine (alkylamine)@carboxylic acid derivative@carboxylic acid,0,0,6,3,2,0,1,0,0,89.094,1,89.048,69.2,1,1,0,2,0,-3.0,63.3,0,0,52.8,89.048,-1,0,0,0,1,0,0,0,0,0,0,1
240,benzaldehyde,benzaldehyde,C1=CC=C(C=C1)C=O,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,burning aromatic taste@similar to bitter almond,characteristic odor or volatile oil of almond@odor resembling oil of bitter almond,"['cherry', 'almond', 'sweet', 'burnt sugar', 'sharp', 'strong', 'bitter']","Bitter Almond, Burnt Sugar, Cherry, Malt, Roasted Pepper",strong@sharp@burnt sugar@bitter@sweet@cherry@almond,1,,15.0,1,FDB014661,,2127,100-52-7,carbonyl compound@aldehyde@aromatic compound,0,0,8,1,0,0,1,0,0,106.124,1,106.042,90.5,0,1,0,1,0,1.5,17.1,0,0,72.5,106.042,1,0,0,0,1,0,0,0,0,0,0,1
244,benzyl alcohol,phenylmethanol,C1=CC=C(C=C1)CO,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",sharp burning taste,faint aromatic odor,"['berry', 'balsamic', 'rose', 'floral', 'walnut', 'sweet', 'cherry', 'phenolic', 'flower', 'grapefruit']","Boiled Cherries, Moss, Roasted Bread, Rose",berry@balsamic@rose@floral@walnut@sweet@cherry@phenolic@flower@grapefruit,0,,,1,FDB008745,,2137,100-51-6,hydroxy compound@alcohol@primary alcohol@aromatic compound,0,0,8,1,1,0,1,0,0,108.14,1,108.058,92.4,0,1,0,1,0,1.1,20.2,0,0,55.4,108.058,1,0,0,0,1,0,0,1,0,0,0,1
263,1-butanol,butan-1-ol,CCCCO,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3","banana, fusel taste@dry, burning taste@5.00x10-1 ppm (taste detection in water, gas chromatically pure)","harsh fusel odor with banana@odor similar to amyl alcohol@rancid, sweet@strong characteristic, mildly alcoholic odor","['oil', 'vanilla', 'fruit', 'fusel', 'sweet', 'balsam', 'medicine', 'medicinal']",Fruit,oil@vanilla@fruit@fusel@sweet@balsam@medicine@medicinal,0,,,1,FDB012614,,2178,5593-70-4@71-36-3@35296-72-1@14254-05-8,hydroxy compound@alcohol@primary alcohol,0,0,5,1,1,0,1,0,0,74.123,1,74.073,67.4,0,1,0,2,0,0.9,20.2,0,0,13.1,74.073,1,0,0,0,1,1,0,0,0,0,0,1
323,coumarin,chromen-2-one,C1=CC=C2C(=C1)C=CC(=O)O2,InChI=1S/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,"bitter undertone@nut-like flavor on dilution@bitter, aromatic@burning taste","pleasant, fragrant odor resembling that of vanilla beans.@hay-like bittersweet odor","['sweet', 'new mown hay', 'green', 'tonka', 'bitter']",,new mown hay@bitter@green@sweet@tonka,0,Sweet,49.0,1,FDB030742,10853.0,,91-64-5,oxo(het)arene@aromatic compound@heterocyclic compound,0,0,11,2,0,0,1,0,0,146.145,1,146.037,116.3,0,1,0,0,0,1.4,26.3,0,0,196.0,146.037,1,0,0,0,1,0,0,0,0,0,0,1
460,guaiacol,2-methoxyphenol,COC1=CC=CC=C1O,"InChI=1S/C7H8O2/c1-9-7-5-3-2-4-6(7)8/h2-5,8H,1H3",,"aromatic odor@characteristic sweet odor, slightly phenolic","['spice', 'vanilla', 'smoky', 'sweet', 'woody', 'phenolic', 'medicine', 'medicinal', 'smoke']","Burnt, Phenol, Wood",spice@vanilla@smoky@sweet@woody@phenolic@medicine@medicinal@smoke,0,,,1,FDB011885,,2532,8021-39-4@26638-03-9@90-05-1@8001-58-9,hydroxy compound@phenol or hydroxyhetarene@ether@alkyl aryl ether@aromatic compound,0,0,9,2,1,0,1,0,0,124.139,1,124.052,100.0,0,1,0,1,0,1.3,29.5,0,0,83.0,124.052,1,0,0,0,1,0,0,0,1,0,0,1
650,"2,3-butanedione","butane-2,3-dione",CC(=O)C(=O)C,InChI=1S/C4H6O2/c1-3(5)4(2)6/h1-2H3,"taste characteristics at 50 ppm: sweet, buttery, creamy and milky@threshold taste detection in milk (gas chromatically pure): 1.40x10-2 ppm and 2.90x10-2 ppm@in skim milk: 1.00x10-1 ppm@threshold taste detection in water (gas chromatically pure): 5.40x10-3 ppm@in water: 1.00x10-8% (volume/volume or wg/wg).",quinone odor@vapors have a chlorine-like odor@very strong buttery odor in dilute solution@strong odor,"['butter', 'caramel', 'oily', 'creamy', 'sweet', 'pungent', 'strong']","Butter, Pastry, Yeast",butter@caramel@oily@creamy@sweet@pungent@strong,0,,,1,FDB011930,,2370,431-03-8,carbonyl compound@ketone,0,0,6,2,0,0,1,0,0,86.09,1,86.037,71.3,0,1,0,1,0,-1.3,34.1,0,0,71.5,86.037,1,0,0,0,1,0,0,0,0,0,0,1
660,dihydrocoumarin,"3,4-dihydrochromen-2-one",C1CC(=O)OC2=CC=CC=C21,"InChI=1S/C9H8O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-4H,5-6H2",sweet then bitter@burning,herbal@odor similar to coumarin at room temp or reminiscent of nitrobenzene at higher temp.@coconut odor@hay-like,"['coconut', 'tobacco', 'coumarin', 'herbal', 'creamy', 'sweet', 'cinnamon', 'almond', 'tonka']",Dairy,coconut@tobacco@coumarin@herbal@creamy@sweet@cinnamon@almond@tonka,0,,,0,FDB015543,,2381,86264-32-6@119-84-6,carboxylic acid derivative@carboxylic acid ester@lactone@aromatic compound@heterocyclic compound,0,0,11,2,0,0,1,0,0,148.161,1,148.052,117.5,0,1,0,0,0,1.6,26.3,0,0,165.0,148.052,1,0,0,0,1,0,0,0,0,1,0,1
