pubchem_id,common_name,inchi,smile,sulfur,bitter,fruity,herbal,floral,green,woody,flavor_profile
126,4-hydroxybenzaldehyde,"InChI=1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H",C1=CC(=CC=C1C=O)O,0,0,0,0,0,0,1,"['woody', 'sweet', 'balsam', 'nutty', 'almond']"
261,butyraldehyde,"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3",CCCC=O,0,0,1,0,1,1,1,"['bready', 'chocolate', 'creamy', 'pear', 'vegetable', 'fatty', 'earthy', 'woody', 'pungent', 'nutty', 'wine_like', 'meaty', 'spicy', 'citrus', 'herbaceous', 'green', 'apple', 'floral', 'musty', 'cocoa', 'fruity', 'malty']"
325,4-isopropylbenzyl alcohol,"InChI=1S/C10H14O/c1-8(2)10-5-3-9(7-11)4-6-10/h3-6,8,11H,7H2,1-2H3",CC(C)C1=CC=C(C=C1)CO,0,0,0,1,0,0,1,"['spicy', 'herb', 'herbal', 'leather', 'caraway', 'strong', 'wood', 'cumin']"
342,m-cresol,"InChI=1S/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3",CC1=CC(=CC=C1)O,0,0,0,0,0,0,1,"['medical', 'leather', 'woody', 'fecal', 'phenolic', 'medicinal', 'plastic']"
460,guaiacol,"InChI=1S/C7H8O2/c1-9-7-5-3-2-4-6(7)8/h2-5,8H,1H3",COC1=CC=CC=C1O,0,0,0,0,0,0,1,"['spice', 'vanilla', 'smoky', 'sweet', 'woody', 'phenolic', 'medicine', 'medicinal', 'smoke']"
3314,eugenol,"InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3,5-7,11H,1,4H2,2H3",COC1=C(C=CC(=C1)CC=C)O,0,0,0,0,0,0,1,"['clove', 'sweet', 'woody', 'honey', 'spicy', 'cinnamon']"
3611,hinokitiol,"InChI=1S/C10H12O2/c1-7(2)8-4-3-5-9(11)10(12)6-8/h3-7H,1-2H3,(H,11,12)",CC(C)C1=CC(=O)C(=CC=C1)O,0,0,0,0,0,0,1,"['woody', 'phenolic']"
3776,isopropanol,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",CC(C)O,0,1,0,0,0,0,1,"['woody', 'bitter', 'musty', 'alcohol']"
4276,Myristicin,"InChI=1S/C11H12O3/c1-3-4-8-5-9(12-2)11-10(6-8)13-7-14-11/h3,5-6H,1,4,7H2,2H3",COC1=CC(=CC2=C1OCO2)CC=C,0,0,0,0,0,0,1,"['balsamic', 'spice', 'warm', 'woody', 'balsam']"
5144,safrole,"InChI=1S/C10H10O2/c1-2-3-8-4-5-9-10(6-8)12-7-11-9/h2,4-6H,1,3,7H2",C=CCC1=CC2=C(C=C1)OCO2,0,0,0,0,1,0,1,"['spice', 'warm', 'floral', 'sassafrass', 'sweet', 'woody', 'anise', 'spicy']"
5634,10-Undecenoic Acid,"InChI=1S/C11H20O2/c1-2-3-4-5-6-7-8-9-10-11(12)13/h2H,1,3-10H2,(H,12,13)",C=CCCCCCCCCC(=O)O,0,0,0,0,0,0,1,"['sweet', 'woody']"
6448,Bornyl Acetate,"InChI=1S/C12H20O2/c1-8(13)14-10-7-9-5-6-12(10,4)11(9,2)3/h9-10H,5-7H2,1-4H3",CC(=O)OC1CC2CCC1(C2(C)C)C,0,0,0,1,0,0,1,"['cedar', 'balsamic', 'spice', 'herbal', 'fresh', 'sweet', 'woody', 'pine needle', 'pine', 'camphor']"
6532,Linalyl isobutyrate,"InChI=1S/C14H24O2/c1-7-14(6,10-8-9-11(2)3)16-13(15)12(4)5/h7,9,12H,1,8,10H2,2-6H3",CC(C)C(=O)OC(C)(CCC=C(C)C)C=C,0,0,1,0,0,0,1,"['light', 'woody', 'fruity', 'bergamot', 'lavender']"
6544,Isophorone,"InChI=1S/C9H14O/c1-7-4-8(10)6-9(2,3)5-7/h4H,5-6H2,1-3H3",CC1=CC(=O)CC(C1)(C)C,0,0,1,0,0,1,1,"['cooling', 'tobacco', 'cedarwood', 'leather', 'musty', 'woody', 'sweet', 'fruity', 'camphoraceous', 'camphor', 'green']"
6548,Tetrahydrolinalool,"InChI=1S/C10H22O/c1-5-10(4,11)8-6-7-9(2)3/h9,11H,5-8H2,1-4H3",CCC(C)(CCCC(C)C)O,0,0,0,0,1,0,1,"['lilac', 'floral', 'oily', 'lily', 'woody', 'tea', 'bois de rose']"
6549,Linalool,"InChI=1S/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3",CC(=CCCC(C)(C=C)O)C,0,0,0,0,1,1,1,"['lemon', 'citrus', 'orange', 'floral', 'sweet', 'woody', 'blueberry', 'bois de rose', 'lavender', 'flower', 'green']"
6616,Camphene,"InChI=1S/C10H16/c1-7-8-4-5-9(6-8)10(7,2)3/h8-9H,1,4-6H2,2-3H3",CC1(C2CCC(C2)C1=C)C,0,0,0,1,0,0,1,"['fir needle', 'woody', 'herbal', 'camphor']"
6631,Dihydroterpinyl acetate,"InChI=1S/C12H22O2/c1-9-5-7-11(8-6-9)12(3,4)14-10(2)13/h9,11H,5-8H2,1-4H3",CC1CCC(CC1)C(C)(C)OC(=O)C,0,0,0,0,0,0,1,"['citrus', 'lime', 'woody', 'cologne', 'pine']"
6654,Alpha-Pinene,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3",CC1=CCC2CC1C2(C)C,0,0,0,0,0,0,1,"['harsh', 'turpentine', 'minty', 'fresh', 'earthy', 'sweet', 'woody', 'terpene', 'pine', 'camphor']"
6874,Isoamyl salicylate,"InChI=1S/C12H16O3/c1-9(2)7-8-15-12(14)10-5-3-4-6-11(10)13/h3-6,9,13H,7-8H2,1-2H3",CC(C)CCOC(=O)C1=CC=CC=C1O,0,0,0,1,0,0,1,"['wintergreen', 'tobacco', 'metallic', 'floral', 'soapy', 'herbal', 'woody', 'bitter', 'orchid']"
6949,Guaiene,"InChI=1S/C15H24/c1-10(2)13-7-5-11(3)14-8-6-12(4)15(14)9-13/h11-12H,5-9H2,1-4H3",CC1CCC(=C(C)C)CC2=C1CCC2C,0,0,0,0,0,0,1,"['guaiacwood', 'powdery', 'spice', 'sweet', 'woody', 'wood', 'spicy', 'dry']"
6985,"2',4'-Dimethylacetophenone","InChI=1S/C10H12O/c1-7-4-5-10(9(3)11)8(2)6-7/h4-6H,1-3H3",CC1=CC(=C(C=C1)C(=O)C)C,0,0,0,0,1,0,1,"['floral', 'woody', 'sweet', 'minty', 'mimosa']"
7041,"2,6-Dimethoxyphenol","InChI=1S/C8H10O3/c1-10-6-4-3-5-7(11-2)8(6)9/h3-5,9H,1-2H3",COC1=C(C(=CC=C1)OC)O,0,0,0,0,0,0,1,"['smoke', 'powdery', 'balsamic', 'smoky', 'bacon', 'phenol', 'woody', 'medicine', 'phenolic']"
7058,2-Naphthalenethiol,"InChI=1S/C10H8S/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7,11H",C1=CC=C2C=C(C=CC2=C1)S,1,0,0,0,0,0,1,"['sulfurous', 'roasted', 'rubbery', 'woody', 'creamy', 'artichoke', 'meaty']"
7136,Acetyleugenol,"InChI=1S/C12H14O3/c1-4-5-10-6-7-11(15-9(2)13)12(8-10)14-3/h4,6-8H,1,5H2,2-3H3",CC(=O)OC1=C(C=C(C=C1)CC=C)OC,0,0,0,0,1,0,1,"['carnation', 'spice', 'clove', 'malt', 'fresh', 'floral', 'woody', 'sweet']"
