pubchem_id,common_name,iupac_name,smile,inchi,has_sweet
40,2-Deoxyhexopyranose,"6-(hydroxymethyl)oxane-2,4,5-triol",C1C(C(C(OC1O)CO)O)O,"InChI=1S/C6H12O5/c7-2-4-6(10)3(8)1-5(9)11-4/h3-10H,1-2H2",1
58,2-oxobutanoic acid,2-oxobutanoic acid,CCC(=O)C(=O)O,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)",1
107,3-Phenylpropanoic acid,3-phenylpropanoic acid,C1=CC=C(C=C1)CCC(=O)O,"InChI=1S/C9H10O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,10,11)",1
125,4-hydroxybenzyl alcohol,4-(hydroxymethyl)phenol,C1=CC(=CC=C1CO)O,"InChI=1S/C7H8O2/c8-5-6-1-3-7(9)4-2-6/h1-4,8-9H,5H2",1
126,4-hydroxybenzaldehyde,4-hydroxybenzaldehyde,C1=CC(=CC=C1C=O)O,"InChI=1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H",1
179,acetoin,3-hydroxybutan-2-one,CC(C(=O)C)O,"InChI=1S/C4H8O2/c1-3(5)4(2)6/h3,5H,1-2H3",1
188,AC1L18OC,"[3,4-dihydroxy-6-(hydroxymethyl)-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl] acetate",CC(=O)OC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O,"InChI=1S/C14H24O12/c1-4(17)23-13-11(22)9(20)12(6(3-16)25-13)26-14-10(21)8(19)7(18)5(2-15)24-14/h5-16,18-22H,2-3H2,1H3",1
206,Hexopyranose,"6-(hydroxymethyl)oxane-2,3,4,5-tetrol",C(C1C(C(C(C(O1)O)O)O)O)O,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2",1
229,Pentopyranose,"oxane-2,3,4,5-tetrol",C1C(C(C(C(O1)O)O)O)O,"InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2",1
239,beta-alanine,3-aminopropanoic acid,C(CN)C(=O)O,"InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)",1
240,benzaldehyde,benzaldehyde,C1=CC=C(C=C1)C=O,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,1
